sample_id,image_path,vehicle_id,view,device_id,source_batch,pair_id,width_actual,height_actual,aspect_ratio,r_mean,g_mean,b_mean,r_std,g_std,b_std,gray_mean,contrast,saturation,dark_ratio,bright_ratio,laplacian_variance,file_size_kb
front_c0210454,F:\大三下学期\培养方案\保研\康国梁老师\语义分割\语义分割\训练数据\04_archive_joint_segformer\data_prepared\prepared_front\images\c0210454-CJ1_-_06_-FrontSide_front.jpg,CJ1_-_06_-FrontSide,front,pipeline_1080,prepared_front,c0210454,1179,1080,1.0916666666666666,235.80428564697013,235.28849071718028,234.8768110137279,47.61707206896003,48.983584961102565,49.886946133871945,235.38966010115288,48.638392324228796,3.766694939214023,0.0002725159425753149,0.8478112336254829,34.93756086443702,82.5751953125
front_c0595a09,F:\大三下学期\培养方案\保研\康国梁老师\语义分割\语义分割\训练数据\04_archive_joint_segformer\data_prepared\prepared_front\images\c0595a09-C300BF-K-0001-05-FrontSide_front.jpeg,C300BF-K-0001-05-FrontSide,front,pipeline_1080,prepared_front,c0595a09,966,1080,0.8944444444444445,185.1011176290162,187.30234740434017,188.19192642435397,87.55613309378911,85.35754236270492,84.59164835904937,186.75712752089564,85.90724431498971,9.572966988727858,0.0,0.5667011732229124,31.059962809600492,87.671875
front_c06956a5,F:\大三下学期\培养方案\保研\康国梁老师\语义分割\语义分割\训练数据\04_archive_joint_segformer\data_prepared\prepared_front\images\c06956a5-NYJ1-7001A-Side_Front_front.jpg,NYJ1-7001A-Side_Front,front,pipeline_1080,prepared_front,c06956a5,1342,1080,1.2425925925925927,237.10261770712592,235.1506844400287,234.76352803996247,47.923719579980784,51.5477452470374,53.018370769565514,235.69315490975328,50.489495986318126,6.303472567202076,0.0001255726665562731,0.8394505160898603,33.845417287630404,80.9501953125
front_c114f990,F:\大三下学期\培养方案\保研\康国梁老师\语义分割\语义分割\训练数据\04_archive_joint_segformer\data_prepared\prepared_front\images\c114f990-CRH2_2-Side_Front_front.jpg,CRH2_2-Side_Front,front,pipeline_1080,prepared_front,c114f990,1088,1080,1.0074074074074073,236.47798287717865,236.49509633714598,237.02500340413943,47.08191637426903,47.27698349800657,47.08810470732727,236.55011318763616,47.11488960630714,4.762999557461874,0.00026467184095860566,0.8380301947167756,106.9313912717865,68.1611328125
front_c13e8906,F:\大三下学期\培养方案\保研\康国梁老师\语义分割\语义分割\训练数据\04_archive_joint_segformer\data_prepared\prepared_front\images\c13e8906-DJF1_10_Front_Side_front.jpg,DJF1_10_Front_Side,front,pipeline_1080,prepared_front,c13e8906,1087,1080,1.0064814814814815,212.08748083409998,213.32291134280555,218.82171879791474,74.65393837901019,71.11522173515131,62.93602714089368,213.58000783672358,70.70914952601609,19.26528416641112,5.962724453984804e-05,0.7543766397492249,31.475297614219098,89.7080078125
front_c160cbda,F:\大三下学期\培养方案\保研\康国梁老师\语义分割\语义分割\训练数据\04_archive_joint_segformer\data_prepared\prepared_front\images\c160cbda-KDZ1_05_FrontSide_front.jpg,KDZ1_05_FrontSide,front,pipeline_1080,prepared_front,c160cbda,1128,1080,1.0444444444444445,213.10861899133175,212.17980693459418,212.22517730496455,72.7034156388192,73.90433771064605,73.88711057034057,212.46990740740742,73.25029488464541,5.556886163645915,0.017865116889939584,0.7059003152088259,50.17042618855676,77.763671875
front_c200e5c1,F:\大三下学期\培养方案\保研\康国梁老师\语义分割\语义分割\训练数据\04_archive_joint_segformer\data_prepared\prepared_front\images\c200e5c1-CRH3C-08-FrontSide_front.jpeg,CRH3C-08-FrontSide,front,pipeline_1080,prepared_front,c200e5c1,1080,1080,1.0,228.02644290123456,226.88794152949245,227.1885888203018,50.533181348468894,53.035690906612146,54.231052949551156,227.26052726337448,52.37030852381666,5.178713134430727,0.0,0.7041820987654321,18.432985064980592,94.2958984375
front_c243126c,F:\大三下学期\培养方案\保研\康国梁老师\语义分割\语义分割\训练数据\04_archive_joint_segformer\data_prepared\prepared_front\images\c243126c-CRH2E_front_side.008_front.jpeg,CRH2E_front_side.008,front,pipeline_1080,prepared_front,c243126c,1008,1080,0.9333333333333333,202.80684983098178,209.8113912771899,206.1085005144033,81.53550497866146,70.25579267239324,75.5746410068609,207.2973682760141,74.02051048376687,21.7612819664903,0.0,0.6656194885361552,33.67533803644915,82.48046875
front_c281fd76,F:\大三下学期\培养方案\保研\康国梁老师\语义分割\语义分割\训练数据\04_archive_joint_segformer\data_prepared\prepared_front\images\c281fd76-CR200J2-JT001-Side_Front_front.jpg,CR200J2-JT001-Side_Front,front,pipeline_1080,prepared_front,c281fd76,1129,1080,1.0453703703703703,222.39321999147066,222.45336581045171,218.66063297575698,61.735970064715005,61.837281660190335,68.52022908687732,222.00512662795657,62.2732761301573,12.775021323360562,0.00013204080963159795,0.7532427910638717,37.43818521799035,82.4931640625
front_c376fc3a,F:\大三下学期\培养方案\保研\康国梁老师\语义分割\语义分割\训练数据\04_archive_joint_segformer\data_prepared\prepared_front\images\c376fc3a-CRH6A_01_FrontSide_front.jpg,CRH6A_01_FrontSide,front,pipeline_1080,prepared_front,c376fc3a,1383,1088,1.271139705882353,227.87436067160053,229.72959133490707,230.01216318957083,63.77093460300505,60.797710029176955,60.32950217679591,229.2031695270299,61.57709326008999,5.481728632342308,0.009850442346135852,0.821519714176343,68.21476388251261,80.1806640625
